clf_name,drive,f_beta_score,time
NearestCentroid,WDC WD10EACS.csv,0.38681052737723104,0.18849778175354004
GaussianNB,WDC WD10EACS.csv,0.4998766345916605,0.21199870109558105
AdaBoostClassifier,WDC WD10EACS.csv,0.0,2.961966753005981
RandomForestClassifier,WDC WD10EACS.csv,0.0,0.7824907302856445
MLPClassifier,WDC WD10EACS.csv,0.0,1.7854788303375244
FakeAlgorithm,ST3160316AS.csv,0.4822466321850032,0.014499187469482422
DecisionTreeClassifier,ST3160316AS.csv,0.4999217894572188,0.7624800205230713
LinearSVC,ST3160316AS.csv,0.06606537305519744,0.7119812965393066
SGDClassifier,ST3160316AS.csv,0.0,0.25099730491638184
NearestCentroid,ST3160316AS.csv,0.3346514047866805,0.27899789810180664
GaussianNB,ST3160316AS.csv,0.0,0.2669975757598877
AdaBoostClassifier,ST3160316AS.csv,0.0,9.097391128540039
RandomForestClassifier,ST3160316AS.csv,0.0,1.1819827556610107
MLPClassifier,ST3160316AS.csv,0.0,2.5189712047576904
FakeAlgorithm,WDC WD20EFRX.csv,0.4796785659094421,0.006998538970947266
DecisionTreeClassifier,WDC WD20EFRX.csv,0.4998886000742666,0.2739980220794678
LinearSVC,WDC WD20EFRX.csv,0.0,5.534432888031006
SGDClassifier,WDC WD20EFRX.csv,0.0,0.21847057342529294
NearestCentroid,WDC WD20EFRX.csv,0.3988036782430141,0.2309715747833252
GaussianNB,WDC WD20EFRX.csv,0.4888416578108396,0.2704956531524658
AdaBoostClassifier,WDC WD20EFRX.csv,0.0,4.619445085525513
RandomForestClassifier,WDC WD20EFRX.csv,0.0,0.8399903774261475
MLPClassifier,WDC WD20EFRX.csv,0.4994797086368366,3.31946063041687
FakeAlgorithm,TOSHIBA MQ01ABF050M.csv,0.4786626596543953,0.00700068473815918
DecisionTreeClassifier,TOSHIBA MQ01ABF050M.csv,0.0,0.2344977855682373
LinearSVC,TOSHIBA MQ01ABF050M.csv,0.0,1.0489871501922607
SGDClassifier,TOSHIBA MQ01ABF050M.csv,0.0,0.21999621391296387
NearestCentroid,TOSHIBA MQ01ABF050M.csv,0.3414634146341464,0.26999616622924805
GaussianNB,TOSHIBA MQ01ABF050M.csv,0.0,0.2434971332550049
AdaBoostClassifier,TOSHIBA MQ01ABF050M.csv,0.0,4.48344874382019
RandomForestClassifier,TOSHIBA MQ01ABF050M.csv,0.0,0.7409913539886475
MLPClassifier,TOSHIBA MQ01ABF050M.csv,0.0,2.305473804473877
FakeAlgorithm,WDC WD40EFRX.csv,0.4797267191445122,0.009001731872558594
DecisionTreeClassifier,WDC WD40EFRX.csv,0.0,0.2269971370697021
LinearSVC,WDC WD40EFRX.csv,0.0,0.8784921169281006
SGDClassifier,WDC WD40EFRX.csv,0.0,0.22899770736694336
NearestCentroid,WDC WD40EFRX.csv,0.3759130589702477,0.2844974994659424
GaussianNB,WDC WD40EFRX.csv,0.5187251438568695,0.2894985675811768
AdaBoostClassifier,WDC WD40EFRX.csv,0.0,4.07495379447937
RandomForestClassifier,WDC WD40EFRX.csv,0.0,0.7524938583374023
MLPClassifier,WDC WD40EFRX.csv,0.0,2.0294747352600098
FakeAlgorithm,ST320LT007.csv,0.4783643444396365,0.03600120544433594
DecisionTreeClassifier,ST320LT007.csv,0.4994117239947402,2.0294747352600098
LinearSVC,ST320LT007.csv,0.2272656738448457,3.156963348388672
SGDClassifier,ST320LT007.csv,0.0,0.6534929275512695
NearestCentroid,ST320LT007.csv,0.34960426390266525,0.2634973526000977
GaussianNB,ST320LT007.csv,0.0,0.26998090744018555
AdaBoostClassifier,ST320LT007.csv,0.4996541228555617,14.759328603744507
RandomForestClassifier,ST320LT007.csv,0.0,2.6209704875946045
MLPClassifier,ST320LT007.csv,0.0,4.393447160720825
FakeAlgorithm,TOSHIBA DT01ACA300.csv,0.4799360178037416,0.0075016021728515625
DecisionTreeClassifier,TOSHIBA DT01ACA300.csv,0.0,0.1809988021850586
LinearSVC,TOSHIBA DT01ACA300.csv,0.4994645247657296,3.0009648799896236
SGDClassifier,TOSHIBA DT01ACA300.csv,0.0,0.14949870109558105
NearestCentroid,TOSHIBA DT01ACA300.csv,0.4984574111334675,0.2050013542175293
GaussianNB,TOSHIBA DT01ACA300.csv,0.4993304767005892,0.22149896621704104
AdaBoostClassifier,TOSHIBA DT01ACA300.csv,0.4999331282599973,3.470458984375
RandomForestClassifier,TOSHIBA DT01ACA300.csv,0.0,0.8034930229187012
MLPClassifier,TOSHIBA DT01ACA300.csv,0.0,2.427471399307251
FakeAlgorithm,ST9250315AS.csv,0.48017267961763793,0.04600071907043457
DecisionTreeClassifier,ST9250315AS.csv,0.4999110056363097,0.948486328125
LinearSVC,ST9250315AS.csv,0.487006268638549,0.6614656448364258
SGDClassifier,ST9250315AS.csv,0.0,0.36649227142333984
NearestCentroid,ST9250315AS.csv,0.3231502140948494,0.27199387550354004
GaussianNB,ST9250315AS.csv,0.2463255034106625,0.24249744415283206
AdaBoostClassifier,ST9250315AS.csv,0.0,9.961385250091553
RandomForestClassifier,ST9250315AS.csv,0.0,1.3139853477478027
MLPClassifier,ST9250315AS.csv,0.0,3.1069643497467037
FakeAlgorithm,HGST HDS5C4040ALE630.csv,0.4789801363771124,0.008501052856445312
DecisionTreeClassifier,HGST HDS5C4040ALE630.csv,0.4999146320641967,0.3139967918395996
LinearSVC,HGST HDS5C4040ALE630.csv,0.4994303292696821,3.8399562835693364
SGDClassifier,HGST HDS5C4040ALE630.csv,0.4999430912815843,0.33249735832214355
NearestCentroid,HGST HDS5C4040ALE630.csv,0.014364310102922715,0.29649829864501953
GaussianNB,HGST HDS5C4040ALE630.csv,0.4822343998585822,0.34999823570251465
AdaBoostClassifier,HGST HDS5C4040ALE630.csv,0.4999146320641967,6.880420446395874
RandomForestClassifier,HGST HDS5C4040ALE630.csv,0.0,0.8989889621734619
MLPClassifier,HGST HDS5C4040ALE630.csv,0.4999146320641967,6.389926433563232
FakeAlgorithm,ST4000DM001.csv,0.4805480924234282,0.008499860763549805
DecisionTreeClassifier,ST4000DM001.csv,0.4998447847682119,1.6344809532165527
LinearSVC,ST4000DM001.csv,0.495748787230713,14.097339630126953
SGDClassifier,ST4000DM001.csv,0.0,0.3534965515136719
NearestCentroid,ST4000DM001.csv,0.2966238080327564,0.2964961528778076
GaussianNB,ST4000DM001.csv,0.0,0.3164966106414795
AdaBoostClassifier,ST4000DM001.csv,0.0,15.53232479095459
RandomForestClassifier,ST4000DM001.csv,0.0,2.6974692344665527
MLPClassifier,ST4000DM001.csv,0.0,6.212928771972656
FakeAlgorithm,ST32000542AS.csv,0.4797270699383283,0.051000118255615234
DecisionTreeClassifier,ST32000542AS.csv,0.4999159169259228,0.5849952697753906
LinearSVC,ST32000542AS.csv,0.0,3.280961036682129
SGDClassifier,ST32000542AS.csv,0.0,0.2539987564086914
NearestCentroid,ST32000542AS.csv,0.3342858111014856,0.22699761390686035
GaussianNB,ST32000542AS.csv,0.0,0.2284979820251465
AdaBoostClassifier,ST32000542AS.csv,0.0,7.987905263900758
RandomForestClassifier,ST32000542AS.csv,0.0,2.1469738483428955
MLPClassifier,ST32000542AS.csv,0.0,5.38993501663208
FakeAlgorithm,WDC WD1600AAJS.csv,0.4786910197869103,0.04500007629394531
DecisionTreeClassifier,WDC WD1600AAJS.csv,0.4999391653485825,0.8574931621551514
LinearSVC,WDC WD1600AAJS.csv,0.0,3.1774652004241943
SGDClassifier,WDC WD1600AAJS.csv,0.0,0.4264941215515137
NearestCentroid,WDC WD1600AAJS.csv,0.35187132043734226,0.2819972038269043
GaussianNB,WDC WD1600AAJS.csv,0.4979232836550208,0.30649733543396
AdaBoostClassifier,WDC WD1600AAJS.csv,0.0,8.642901182174683
RandomForestClassifier,WDC WD1600AAJS.csv,0.4999391653485825,1.7689807415008545
MLPClassifier,WDC WD1600AAJS.csv,0.0,4.5159475803375235
FakeAlgorithm,WDC WD30EZRX.csv,0.4795297429316554,0.045500755310058594
DecisionTreeClassifier,WDC WD30EZRX.csv,0.4999204518335853,0.2869865894317627
LinearSVC,WDC WD30EZRX.csv,0.4994625582228592,8.175404071807861
SGDClassifier,WDC WD30EZRX.csv,0.0,0.1894979476928711
NearestCentroid,WDC WD30EZRX.csv,0.5795820230086381,0.2474989891052246
GaussianNB,WDC WD30EZRX.csv,0.7221227672355492,0.2384982109069824
AdaBoostClassifier,WDC WD30EZRX.csv,0.0,6.5094242095947275
RandomForestClassifier,WDC WD30EZRX.csv,0.0,1.3189880847930908
MLPClassifier,WDC WD30EZRX.csv,0.0,3.8544557094573975
FakeAlgorithm,TOSHIBA MD04ABA400V.csv,0.4782015503875969,0.013497114181518556
DecisionTreeClassifier,TOSHIBA MD04ABA400V.csv,0.0,0.3504958152770996
LinearSVC,TOSHIBA MD04ABA400V.csv,0.0,2.3599722385406494
SGDClassifier,TOSHIBA MD04ABA400V.csv,0.0,0.35499691963195795
NearestCentroid,TOSHIBA MD04ABA400V.csv,0.496062048932411,0.4234955310821533
GaussianNB,TOSHIBA MD04ABA400V.csv,0.4979563829469853,0.5309932231903076
AdaBoostClassifier,TOSHIBA MD04ABA400V.csv,0.0,11.968362092971802
RandomForestClassifier,TOSHIBA MD04ABA400V.csv,0.0,1.5959813594818115
MLPClassifier,TOSHIBA MD04ABA400V.csv,0.0,5.87543249130249
FakeAlgorithm,TOSHIBA MQ01ABF050.csv,0.4785853010324031,0.07850050926208496
DecisionTreeClassifier,TOSHIBA MQ01ABF050.csv,0.4999142177887797,1.0984907150268557
LinearSVC,TOSHIBA MQ01ABF050.csv,0.0,32.43512487411499
SGDClassifier,TOSHIBA MQ01ABF050.csv,0.0,0.8279902935028076
NearestCentroid,TOSHIBA MQ01ABF050.csv,0.4351364819223741,0.3549985885620117
GaussianNB,TOSHIBA MQ01ABF050.csv,0.5090250101514444,0.5994946956634521
AdaBoostClassifier,TOSHIBA MQ01ABF050.csv,0.0,17.181801557540894
RandomForestClassifier,TOSHIBA MQ01ABF050.csv,0.0,3.251462459564209
MLPClassifier,TOSHIBA MQ01ABF050.csv,0.0,9.087893247604368
FakeAlgorithm,ST33000651AS.csv,0.4788699455085479,0.0794990062713623
DecisionTreeClassifier,ST33000651AS.csv,0.0,1.4199833869934082
LinearSVC,ST33000651AS.csv,0.4793326635044512,19.724768877029422
SGDClassifier,ST33000651AS.csv,0.0,0.3009939193725586
NearestCentroid,ST33000651AS.csv,0.0,0.3009941577911377
GaussianNB,ST33000651AS.csv,0.0,0.3094959259033203
AdaBoostClassifier,ST33000651AS.csv,0.0,17.03580379486084
RandomForestClassifier,ST33000651AS.csv,0.0,4.473948955535889
MLPClassifier,ST33000651AS.csv,0.02670252756343288,8.566902637481691
FakeAlgorithm,HGST HUH728080ALE600.csv,0.4787559072425541,0.01850104331970215
DecisionTreeClassifier,HGST HUH728080ALE600.csv,0.0,1.0139899253845217
LinearSVC,HGST HUH728080ALE600.csv,0.0,13.579846382141113
SGDClassifier,HGST HUH728080ALE600.csv,0.0,0.5109961032867432
NearestCentroid,HGST HUH728080ALE600.csv,0.4066456488014813,0.3944973945617676
GaussianNB,HGST HUH728080ALE600.csv,0.14426378407597185,0.4854943752288818
AdaBoostClassifier,HGST HUH728080ALE600.csv,0.0,19.214284420013424
RandomForestClassifier,HGST HUH728080ALE600.csv,0.0,2.8724679946899414
MLPClassifier,HGST HUH728080ALE600.csv,0.0,9.132896661758425
FakeAlgorithm,ST4000DX000.csv,0.4797062284044853,0.093001127243042
