AdaBoostClassifier,DecisionTreeClassifier,FakeAlgorithm,GaussianNB,KerasAlgorithm,LightGBMAlgorithm,LinearSVC,MLPClassifier,NearestCentroid,RandomForestClassifier,SGDClassifier,SVC,XGBoostGbtreeAlgorithm,drive_csv,failure,file,lines,ok,size,test,train,validate,winner,winner_f_beta
0.5833260239688679,0.4999875739895826,0.479190788306014,0.4998954560674228,0.4988255773573073,0.4999744163641706,0.4998062301751533,0.0,0.34195903489989005,0.4999912287626416,0.4999831881913857,0.0,0.4999912287626416,ST12000NM0007.csv,106,drives_minified\ST12000NM0007.csv,3422011,3421904,339870636,11,84,11,AdaBoostClassifier,0.5833260239688679
0.5833292235967921,0.5322521053810009,0.4791842394866668,0.5023231200139123,0.5011719633432145,0.5184864607553613,0.4999932189096253,0.0,0.5037174222396111,0.4999960957583085,0.0,0.0,0.5555522677744297,HGST HMS5C4040BLE640.csv,171,drives_minified\HGST HMS5C4040BLE640.csv,12169350,12169178,584846426,17,136,17,AdaBoostClassifier,0.5833292235967921
0.4999235668789809,0.5474576559128824,0.4797062284044853,0.0,0.0,0.5908326551915294,0.0,0.0,0.3371983358050225,0.5999320582939838,0.4998810939357908,0.0,0.5999320582939838,ST4000DX000.csv,81,drives_minified\ST4000DX000.csv,293561,293479,7415004,8,64,8,RandomForestClassifier,0.5999320582939838
0.4999696520389495,0.6110807626237664,0.4794555170421722,0.5036489881702556,0.0,0.5908700707486747,0.0,0.0,0.356028938822359,0.4999696520389495,0.0,0.0,0.4999696520389495,WDC WD60EFRX.csv,65,drives_minified\WDC WD60EFRX.csv,579285,579219,27132448,6,52,6,DecisionTreeClassifier,0.6110807626237664
0.6249806441622794,0.5833010727712253,0.479268153384085,0.5022439451744274,0.0,0.4999419287401117,0.0,0.0,0.26209315760876195,0.4999741922163725,0.0,0.0,0.0,ST500LM012 HN.csv,67,drives_minified\ST500LM012 HN.csv,775700,775632,52796831,7,53,7,AdaBoostClassifier,0.6249806441622794
0.6249932262274451,0.5384525067512035,0.4793147469246854,0.5048509348193676,0.4999917209571175,0.4999834416400604,0.4967827093032182,0.0,0.5050375534663402,0.5624947315419573,0.0,0.0,0.0,Hitachi HDS5C3030ALA630.csv,150,drives_minified\Hitachi HDS5C3030ALA630.csv,6641560,6641409,120329996,15,120,15,AdaBoostClassifier,0.6249932262274451
0.6249932636646562,0.4999809133308034,0.4793349201969706,0.4963130013074144,3.592615379957728e-05,0.5269877291785281,0.4963369259129413,0.0,0.3361832672946273,0.0,0.0,0.0,0.0,ST6000DX000.csv,65,drives_minified\ST6000DX000.csv,2220646,2220580,275485803,6,52,6,AdaBoostClassifier,0.6249932636646562
0.5833276638591429,0.4999943305386669,0.4792965087582156,0.4999359276038625,2.0409412821193134e-05,0.4999739194132548,0.49998525913310105,0.6333270968905096,0.4998412064678874,0.0,0.0,0.0,0.0,Hitachi HDS5C4040ALE630.csv,88,drives_minified\Hitachi HDS5C4040ALE630.csv,4397831,4397742,78458395,9,70,9,MLPClassifier,0.6333270968905096
0.0,0.0,0.4788571428571429,0.0,0.6400947119179163,0.0,0.0,0.0,0.010845986984815618,0.0,0.0,0.0,0.0,WDC WD30EZRS.csv,3,drives_minified\WDC WD30EZRS.csv,4425,4421,79185,1,1,1,KerasAlgorithm,0.6400947119179163
0.0,0.0,0.4729411764705882,0.4862385321100917,0.6621417797888386,0.0,0.0,0.0,0.3725490196078431,0.0,0.0,0.0,0.0,WDC WD1600BPVT.csv,4,drives_minified\WDC WD1600BPVT.csv,2495,2490,140770,1,2,1,KerasAlgorithm,0.6621417797888386
0.0,0.4999753763894752,0.4793703232989903,0.5085748716220136,0.09621940508560413,0.676451240908567,0.5029549348179637,0.0,0.5023564486229564,0.499982411954243,0.0,0.0,0.0,Hitachi HDS723030ALA640.csv,73,drives_minified\Hitachi HDS723030ALA640.csv,1429667,1429593,26526461,7,58,7,LightGBMAlgorithm,0.676451240908567
0.0,0.4999204518335853,0.4795297429316554,0.7221227672355492,0.4999204518335853,0.0,0.4994625582228592,0.0,0.5795820230086381,0.0,0.0,0.0,0.0,WDC WD30EZRX.csv,25,drives_minified\WDC WD30EZRX.csv,123578,123552,2225624,2,20,2,GaussianNB,0.7221227672355492
0.0,1.0,0.4808723632463354,0.4996554100620262,0.0006882312456985548,0.0,0.0,0.0,0.4365695659914815,0.0,0.0,0.0,0.0,WDC WD800AAJS.csv,15,drives_minified\WDC WD800AAJS.csv,14704,14688,715873,1,12,1,DecisionTreeClassifier,1.0
